title,dj_names,time,day,description
that's hot,DJ Valley Girl,8:00 AM,Monday,"Join DJ valleygirl as they give a history lesson on everything early 2000s and pop culture. From celebrating the main pop girls to debriefing the messiest celebrity feuds, you'll be a certified pop culture genius faster than you can say ""fetch."" Put on your juicy tracksuit and tune in!"
The Kitty Corner,DJ Dachis,9:00 AM,Monday,
Getting Juicy,DJ Juice,10:00 AM,Monday,"Join DJ Juice through the labyrinth of her wandering mind, from books to surfing to funny events of the week.  Weekly guests will join in on the maze, with no parameters but consistently good music."
Confessions of a Soccer Mom and Prima Donna Ballerina,DJ Matitty and DJ Geezy,11:00 AM,Monday,"Join DJ Matitty and DJ Geezy as they deep dive into the thoughts that everyone has, but no one talks about. We will discuss topics ranging from feminine rage to growing pains to everything in between. Buckle up for a crazy ride because we both have ADHD."
The Bins,UCLA Programming Department,12:00 PM,Monday,
Destination Unknown: A Post-Grad Question,DJ ABC,1:00 PM,Monday,"Join DJ ABC as she discusses the music relevant to different cities that she is considering moving to after graduation. She will discuss the pros and cons of each city, and the music and artists that identify with each space."
Perspectives,DJ Chicken Salad and DJ Francis,2:00 PM,Monday,"Join DJ Francis and DJ Chickensalad as they weave together commentary and analysis of art house film, geo-politics, and rock music to better understand their perspectives on our modern world. "
Cortex,DJ Flip Flop,3:00 PM,Monday,Join DJ Flip Flop as we dive deep in how music affects people's emotional states and how we can utilize that
The Echo Chamber,DJ Woof and DJ Saz,4:00 PM,Monday,"Join DJ Saz and DJ Woof as they uncover the secret goings-ons of life itself. From the craziest UCLA lore to possibly actually useful info, they'll break down everything you need to know one echo at a time. "
Golden Hour,DJ Evil Twin,5:00 PM,Monday,Join DJ Evil Twin and others as they bring incredibly talented Goldenvoice artists in and deep dive into their lives and their music and learn more about their discography and creative journeys Tune in now!
air fried,DJ fishtank and DJ trailmix,6:00 PM,Monday,Sayesha and Skye yap on air 
Hot Takes,DJ Oxford Comma,7:00 PM,Monday,"Join DJ Oxford Comma as she explores all things music, film, fashion, pop-culture, and more! From discussing the artistic triumph that is Comic Sans, to analyzing the best songs of the millennium, each episode is guaranteed to be VERY hot!"
Pinoy Hour,DJ Karatone,8:00 PM,Monday,"Mabuhay! Join DJ Karatone on ""Pinoy Hour,"" where the beats are as vibrant as a jeepney ride, and the OPM gems make your heart sing like a karaoke champion!"
Whiplash,"DJs Celebrity skin, Linnear, Son, and Pneezy",9:00 PM,Monday,"Join Djs Celebrity Skin, Linnear, Pneezy, and Son as they explore each and every corner of different spheres of music to celebrate the diversity that is the human creative experience!"
Seoul Food,DJ bakedbarbie,10:00 PM,Monday,Join djbakedbarbie as she explores her connection to her Korean culture through experimenting with different Korean recipes and listening to kpop! 
