title,dj_names,time,day,description,genres
Art Law Society,DJ Mantis Toboggian,10:00 AM,Friday,,
1-800-HOT-READS,DJ Squid Giant Axon,11:00 AM,Friday,"1-800-HOT-READS will review and discuss books and media that I find (or FAIL to find) impactful as a young girl figuring out the world. Perfect for those who want to:
-Read more!
-See themselves represented in literature
-Look really cool and mysterious 
-Tuck their demons in with a bedtime story and a kiss goodnight",Other
Empowerment Zone,DJ Jojo Puffs,12:00 PM,Friday,What does it mean to feel empowered? Join Black Bruins leaders as we talk about everything from Mental Health to community involvement to success at PWI.  ,Other
Diversity Among Beautiful Worlds,DJ heliocentric,01:00 PM,Friday,,
Speaking Samples,Dj $olo,02:00 PM,Friday,,
The Elevator Pitch,DJ tbd,03:00 PM,Friday,"I posted this on Instagram before the inaugural episode. Think you know an artist/author/song/album/book/etc. that deserves a larger platform? Join us every Friday @ 1 PM PT for The Elevator Pitch: UCLA’s newest variety show which features multiple guests a week selling any coveted form of art in the form of a 2-minute elevator speech. If you have ever experienced a dizzying obsession with any piece of media, but lacked the active audience, The Elevator Pitch is your outlet. Anyone is welcomed to pitch and everyone is encouraged to participate. Stay tuned for our first show tomorrow!",Music Analysis/ Commentary
The Time I,"DJ Ur Mom, DJ Hopeless ",04:00 PM,Friday,"Hope and Gracy get into some fuck shit all the time, in fact that reminds them of The Time They- well, you’ll have to listen to the show to find out… ",Comedic
Westwood Sports Hour,"DJ rich homie dom, DJ lipbite, DJ Ryanair",05:00 PM,Friday,,
✮Video Killed the Radio Star✮,"DJ Capri Sun, DJ Era Erinn ",06:00 PM,Friday,"we ♡ movies and we ♡ music! on Video Killed the Radio Star DJ Carpi Sun and DJ Errra Erinn discuss music, movies, music in movies and multimedia applications for sound♫",Pop Culture Commentary
The Bins,"dj jaxidermy, dj moog jam, dj herb, DJ Amanita, Dj Doof",07:00 PM,Friday,UCLA Radio's signature music programming; rotating djs playing the latest and greatest and talking the music scene.,Live-Mix/ Dance/ ISP
Let that Shit Go!,DJUJ,08:00 PM,Friday,"1 hour live mix of anything groovy, funky, upbeat, hous-y etc! Tune in and get down!",Live-Mix/ Dance/ ISP
Rizz Tips,"DJ Stupid Shirt, DJ Wooden Horse, DJ Lip Bite",10:00 AM,Monday,Our goal is to have a balance between us talking about our dating history and current social lives while helping people who call in / submit their questions beforehand so that we can all come out on top. We all have very different perspectives so it works pretty well! Some music interludes will be included where desired.,Standard Talk/ Advice
The Great Escape,DJ IPA,11:00 AM,Monday,I'll be featuring a classic American roadtrips and pairing them along with music for the road. It is a chance to learn about different travel opportunities as well as hear some tunes and talk that one might experience whilst driving. ,Spirituality/ Environment
Put Me On ,"DJ Horsegirl, DJ Sweet P ",01:00 PM,Monday,"Put me on is a music discovery show where each week we curate a new playlist for your ears based on various ways we find new music. Wether it be deep diving into all the artists highlighted in an Amoeba music “Whats in My Bag” video or sharing our picks from our favorite artists personal playlist on Spotify, we know how to get you out of your music rut. ",Music Analysis/ Commentary
Dust Bunnies,"DJ Chicken Salad, Pbeb3000",02:00 PM,Monday,"The B Plate bread, Alex G’s new album, our latest flea market find, there are a million things constantly occupying our excited college brains! Dust Bunnies centers around a weekly “dust bunny,” an obsession taking up space in our brain. ",Social Commentary
THE PLUG,"DJ juice, DJ niki",03:00 PM,Monday,THE PLUG is a music centered show curating music from rising artists with upcoming concerts in the Los Angeles area. Tune in for an hour to hear your new favorite artist and explore LA's vibrant live-music scene. ,Other
air fried,"dj trailmix, dj fishtank",04:00 PM,Monday,,
Mind Mash!,"DJ Applesauce, DJ Cardboard Box",05:00 PM,Monday,Join DJ Applesauce and DJ Cardboard Box (DJs Applebox if you will) as they take sides every week about a variety of topics. Each episode will center around a new topic and a new “perspective clash.”,Social Commentary
Bunkbed Chats,"DJ Honeybee, DJ Rosie Poser",06:00 PM,Monday,You know the random shit that comes out of your mouth right before falling asleep or after waking up? This show dives into those seemingly meaningless comments that end up carrying weight and shifting perspectives — all done with your roommate :) ,Standard Talk/ Advice
UNARCHVD,DJ Kei0,07:00 PM,Monday,"Over the past few years, hyper pop has quickly evolved into the internet’s most loved and hated genre. From its history and meteoric rise to the hottest new artists to watch, UNARCHVD dives into all aspects of this infamous genre.",Other
What's cookin,DJ Lilly,08:00 PM,Monday,Stop rushing through life and enjoy your early 20s! I will share a new recipe that pairs well with a topic related to navigating early adulthood. I will bring guests on and share the food while we discuss whatever pressing issue is at hand.,Standard Talk/ Advice
seoul food,dj baked barbie,09:00 PM,Monday,"For my show, I would like to talk about my experience of connecting to my Korean culture through food. I would bring on guests who could talk about their similar experiences or dishes that they feel are representative of their culture and attempt to experiment with them ahead of time. For each episode, I would aim to create or experiment with a new recipe and create a visual to accompany that for my Instagram page. ",Lifestyle (Food/ Art/ Fashion/ Film)
TMI,DJ Kitty Pop,10:00 PM,Monday,"Your worst hook-up stories, familial trauma, and darkest secrets are safe with me...and everybody listening, of course.",Comedic
National Discographic,DJ Amanita,01:00 PM,Saturday,"National Discographic will be taking a dive through a select artist's discography each episode, highlighting background information about albums, musical influences, and other aspects of their progression.",Music Analysis/ Commentary
baggage claim,dj silly rabbit,03:00 PM,Saturday,tell me about the most traumatic event that shaped the course of your life. this is the time to unpack and reflect. claim your baggage here so it doesn’t fall on someone you love.,Social Commentary
Earth to Bela,DJ Bela,11:00 AM,Sunday,"Earth to Bela will be about my lived experience as the oldest child of a first generation Indian American family and how my identity shapes and influences the way I experience the world when it comes to music, TV shows, lifestyle, my interests, spiritual healing, growth, mental health, navigating adulthood, and relationships. Some examples of topics this show will cover are chosen family, how to find peace in things you love, exploring new things that push you to grow, and creating the idea of ""home"" for yourself.",Other
tboy swag,dj pissboy,12:00 PM,Sunday,,
Dirty Laundry,"DJ Max Slater, DJ Pop Rocks ",01:00 PM,Sunday,Two unqualified film majors (DJ Pop Rocks and DJ Decision Maker App) unpack life’s various victories and “oopsie” moments. Join them on a euphoric Magic School Bus field trip through their troubled psyches as they overthink everything they’ve ever done.,Standard Talk/ Advice
The Ken and Tully Show,"DJ Kenmats, DJ Tulldog",02:00 PM,Sunday,"Ken from Texas and Tully from Cali back at it again shooting the shit as always.  Featuring guests stars such as the Love Doctors, The Interns, and more to come. Don’t forget to call in.",Standard Talk/ Advice
Musicians of UCLA,DJ $weaty Money,03:00 PM,Sunday,Musicians of UCLA is a show focused on interviewing UCLA musicians and/or creatives in music. Each show explores the story of each guest in order to understand how it is informing their present and future life in music. Throughout the show we will observe music connected to each guest's story.,Music Analysis/ Commentary
hot girls have anxiety,"DJ Kei0, DJ Jaxidermy",06:00 PM,Sunday,"Inside the head of a hot girl… things get a little crazy. Join us as we pick apart (and lose) pieces of our mind. It’s a therapy session, it’s a comedy show, it’s “hot girls have anxiety.”",Social Commentary
